Company Name,Description,Area,Reasoning,Company Domain,Company Description,Company Year Founded,Company Website,Company Number of Employees,Company Revenue,Company linkedin URL,Total Funding Amount,Total Number of Rounds,Last Round/Event Amount,Last Round/Event Type,Last Round/Event Date,IPO Status,Company Main Industry,Company Sub Industry,Company SIC (Standard Industrial Classification),Company NAIC (North American Industry Classification),Company Specialties,Company Continent,Company Country,Company City,Company Country ISO
Aidoc,AI radiology triage for faster diagnostics,AI reducing information asymmetry,AI radiology triage for faster diagnostics,,,,,,,,,,,,,,,,,,,,,,
Alison.ai,Data-driven creative insights for marketing,AI reducing information asymmetry,Data-driven creative insights for marketing,alison.ai,"Alison.ai is an AI-powered creative workflow platform that revolutionizes video ad creation. We use advanced algorithms to analyze existing creatives, generate data-driven strategies, and produce high-performing video content. Our goal is to simplify the advertising process and deliver exceptional results for our clients.
Our unique SaaS technology allows businesses to identify their top-performing elements in creatives, get full-funnel data, and perform intelligent competitive analysis. 

Stop the guesswork and start making results-driven creatives!

Learn more about Alison at www.alison.ai or email us at asaf@alison.ai for more info.",,https://alison.ai,11-50,$250M - $500M,https://www.linkedin.com/company/alison-ai,$18.4M,2.0,13300000.0,Seed Round,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,,Asia,Israel,Tel Aviv,IL
Anima Biotech,AI for mRNA translation drug discovery,AI reducing information asymmetry,AI for mRNA translation drug discovery,,,,,,,,,,,,,,,,,,,,,,
Bananaz,AI-powered design QA & collaboration platform,AI reducing information asymmetry,AI-powered design QA & collaboration platform,,,,,,,,,,,,,,,,,,,,,,
Binah.ai,Extracts vital signs from video for health monitoring,AI reducing information asymmetry,Extracts vital signs from video for health monitoring,,,,,,,,,,,,,,,,,,,,,,
Botika,Generative imagery for product photos in fashion retail,AI reducing information asymmetry,Generative imagery for product photos in fashion retail,botika.io,"Fashion retail is no longer just about clothes. Success requires a combination of innovation and creative use of technology. Botika harnesses the power of Generative AI to help fashion retailers create stunning product photos. 

Using Botika's AI-generated fashion models, retailers can transform their existing photos into a range of professional, studio-grade product images, reducing photo production costs and time to market.

Botika unites a team of experts with vast experience in Computer Vision, Artificial Intelligence, Media, and B2B software products - we are committed to transforming the fashion industry through the use of synthetic media.",2020.0,https://botika.io,11-50,,https://www.linkedin.com/company/botika-io,$8M,3.0,8000000.0,Seed Round,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,artificial intelligent,Asia,Israel,Tel Aviv,IL
Buildots,AI progress-tracking & analytics for construction,AI applied to traditional industries,AI progress-tracking & analytics for construction,,,,,,,,,,,,,,,,,,,,,,
C2A Security,Real-time vehicle cybersecurity analytics,AI reducing information asymmetry,Real-time vehicle cybersecurity analytics,,,,,,,,,,,,,,,,,,,,,,
Civ Robotics,Robotic surveying for construction sites,New physical capabilities,Robotic surveying for construction sites,,,,,,,,,,,,,,,,,,,,,,
ControlMonkey,Autonomous Terraform & infrastructure governance,AI reducing information asymmetry,Autonomous Terraform & infrastructure governance,controlmonkey.io,"ControlMonkey is the only fully end-to-end Terraform automation platform. 
From AI-powered code generation to best-in-class automations, we give cloud teams a powerful, unified way to visualize, spin-up, automate and govern cloud infrastructure – end-to-end, at any scale, for any future.",2022.0,https://controlmonkey.io,11-50,,https://www.linkedin.com/company/controlmonkey,$7M,2.0,7000000.0,Seed Round,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"awp, cloud governance, development and operations engineering, eac, opentofu, security compliance, sre, terraform",Asia,Israel,Tel Aviv,IL
CropX,Soil-sensing & irrigation optimization,AI reducing information asymmetry,Soil-sensing & irrigation optimization,,,,,,,,,,,,,,,,,,,,,,
CytoReason,Multi-omics models for drug R&D,AI reducing information asymmetry,Multi-omics models for drug R&D,,,,,,,,,,,,,,,,,,,,,,
DayTwo,Microbiome-based nutrition insights,AI reducing information asymmetry,Microbiome-based nutrition insights,,,,,,,,,,,,,,,,,,,,,,
Diagnostic Robotics,AI triage & patient routing,AI reducing information asymmetry,AI triage & patient routing,,,,,,,,,,,,,,,,,,,,,,
Fermata,Computer vision greenhouse monitoring,AI applied to traditional industries,Computer vision greenhouse monitoring,fermata.tech,"Fermata builds AI-powered decision support systems for precise plant monitoring in greenhouses &  indoor farms utilizing computer vision analysis. 
Our Croptimus platform automatically discovers pests and disease at their earliest stages, helping our customers to spend less time scouting while increasing their yield.",2020.0,https://fermata.tech,11-50,$10M - $50M,https://www.linkedin.com/company/fermatatech,$14.6M,6.0,10000000.0,Series A,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"agriculture, agriculture technology, agtech, artificial intelligent, cannabis, computer vision",Asia,Israel,Tel Aviv,IL
Fintica AI,Autonomous analytics for capital markets,AI reducing information asymmetry,Autonomous analytics for capital markets,fintica-ai.com,"Fintica AI is an Israeli Fintech & Deeptech company that is building next generation Autonomous AI for global capital markets.
The firm develops unique AI-based investment & risk decision-support tools, associated intelligent market data feeds and predictive analytics for Investment Managers, Markets Infrastructure and Global Data Vendors

To learn more visit www.fintica-ai.com or email enquiry@fintica-ai.com.",2019.0,https://fintica-ai.com,11-50,$10M - $50M,https://www.linkedin.com/company/fintica,,3.0,,Corporate Round,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"artificial intelligent, compliance, data science, financial markets, market surveillance, predictive analytics",Asia,Israel,Tel Aviv,IL
Guardz,Unified SMB security with AI risk scoring,AI reducing information asymmetry,Unified SMB security with AI risk scoring,,,,,,,,,,,,,,,,,,,,,,
Lendai,AI underwriting for overseas property investors,AI reducing information asymmetry,AI underwriting for overseas property investors,,,,,,,,,,,,,,,,,,,,,,
MarketTeam.ai,Autonomous marketing agents,AI reducing information asymmetry,Autonomous marketing agents,,,,,,,,,,,,,,,,,,,,,,
MIND,AI-based data loss prevention,AI reducing information asymmetry,AI-based data loss prevention,,,,,,,,,,,,,,,,,,,,,,
Notch.cx,Autonomous customer-support workflows,AI reducing information asymmetry,Autonomous customer-support workflows,,,,,,,,,,,,,,,,,,,,,,
Olive Diagnostics,Continuous urinalysis via IoT and AI,AI reducing information asymmetry,Continuous urinalysis via IoT and AI,,,,,,,,,,,,,,,,,,,,,,
Pepticom,AI design of therapeutic peptides,AI reducing information asymmetry,AI design of therapeutic peptides,,,,,,,,,,,,,,,,,,,,,,
ProteanTecs,Electronics health monitoring using on-chip agents,AI reducing information asymmetry,Electronics health monitoring using on-chip agents,,,,,,,,,,,,,,,,,,,,,,
SeeTree,Deep-sensing & analytics for orchards,AI applied to traditional industries,Deep-sensing & analytics for orchards,,,,,,,,,,,,,,,,,,,,,,
Superlegal,AI contract review for SMBs,AI reducing information asymmetry,AI contract review for SMBs,,,,,,,,,,,,,,,,,,,,,,
Tonic Security,AI threat landscape mapping and stress-testing,AI reducing information asymmetry,AI threat landscape mapping and stress-testing,,,,,,,,,,,,,,,,,,,,,,
Trigo,Autonomous checkout & inventory analytics,AI applied to traditional industries,Autonomous checkout & inventory analytics,,,,,,,,,,,,,,,,,,,,,,
Volumez,Data infrastructure-as-code,AI reducing information asymmetry,Data infrastructure-as-code,volumez.com,"Volumez’ Data Infrastructure as a Service (DIaaS) is a platform that composes cloud resources and intelligently orchestrates them using balanced system configurations to build a data infrastructure tailored to a workload’s specific requirements. DIaaS provides a unique, performant, resilient, scalable, and cost-efficient solution designed for data-intensive workloads on any cloud. The platform’s innovative architecture, controller-less design and declarative Data Infrastructure as Code (DIaC), simplifies storage deployment and dynamically adjusts to changing service levels of the workload or infrastructure based on business needs. The result is a composable and predictable DIaaS that delivers real value to organizations through guaranteed extreme performance and ultra-low latency with enterprise-grade data resilience at optimized cloud costs. Volumez is available on the AWS Marketplace, Azure Marketplace, and Oracle Cloud Marketplace.

Volumez is named one of The 50 Coolest Software-Defined Storage Vendors of 2025 by CRN. 

Volumez has been recognized as one of Israel’s Top 50 Startups for three consecutive years, as featured by The Marker, Calcalist, and Globes. 

Volumez Announces Completion of $40 Million Series A Funding to Revolutionize Cloud-Aware Data Infrastructure on July 10, 2024.",2020.0,https://volumez.com,11-50,,https://www.linkedin.com/company/volumez,$40M,3.0,20000000.0,Series A,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,,Asia,Israel,Tel Aviv,IL
Addionics,3D-structured electrode design for batteries,New physical capabilities,3D-structured electrode design for batteries,,,,,,,,,,,,,,,,,,,,,,
Aleph Farms,Cultivated meat from animal cells,New physical capabilities,Cultivated meat from animal cells,,,,,,,,,,,,,,,,,,,,,,
Airobotics,Fully automated industrial inspection drones,New physical capabilities,Fully automated industrial inspection drones,,,,,,,,,,,,,,,,,,,,,,
Arbe Robotics,4D imaging radar for autonomous vehicles,New physical capabilities,4D imaging radar for autonomous vehicles,,,,,,,,,,,,,,,,,,,,,,
Augmedics,AR surgical guidance for spine procedures,New physical capabilities,AR surgical guidance for spine procedures,,,,,,,,,,,,,,,,,,,,,,
BionicHIVE,Mobile warehouse robots,New physical capabilities,Mobile warehouse robots,,,,,,,,,,,,,,,,,,,,,,
BlueWhite Robotics,Autonomous tractors for agriculture,New physical capabilities,Autonomous tractors for agriculture,,,,,,,,,,,,,,,,,,,,,,
ECOncrete,Bio-enhancing concrete for marine structures,New physical capabilities,Bio-enhancing concrete for marine structures,,,,,,,,,,,,,,,,,,,,,,
Electreon,Wireless road-embedded EV charging,New physical capabilities,Wireless road-embedded EV charging,,,,,,,,,,,,,,,,,,,,,,
Flytrex,Drone delivery network,New physical capabilities,Drone delivery network,,,,,,,,,,,,,,,,,,,,,,
HevenDrones,Heavy-lift drones for logistics,New physical capabilities,Heavy-lift drones for logistics,,,,,,,,,,,,,,,,,,,,,,
Indoor Robotics,Indoor security/maintenance drones,New physical capabilities,Indoor security/maintenance drones,,,,,,,,,,,,,,,,,,,,,,
InfiniDome,GPS anti-jamming protection for drones and vehicles,New physical capabilities,GPS anti-jamming protection for drones and vehicles,,,,,,,,,,,,,,,,,,,,,,
Innoviz Technologies,Solid-state LiDAR for autonomous vehicles,New physical capabilities,Solid-state LiDAR for autonomous vehicles,,,,,,,,,,,,,,,,,,,,,,
Irregular (Pattern Labs),AI safety stress-testing for models,AI reducing information asymmetry,AI safety stress-testing for models,,,,,,,,,,,,,,,,,,,,,,
Lightbits Labs,NVMe-over-TCP data storage infrastructure,AI reducing information asymmetry,NVMe-over-TCP data storage infrastructure,,,,,,,,,,,,,,,,,,,,,,
MetoMotion,Greenhouse harvesting robots,New physical capabilities,Greenhouse harvesting robots,,,,,,,,,,,,,,,,,,,,,,
Nanosono,Nanotechnology-based antimicrobial coatings,New physical capabilities,Nanotechnology-based antimicrobial coatings,,,,,,,,,,,,,,,,,,,,,,
Neteera,Contactless vital-sign monitoring sensors,New physical capabilities,Contactless vital-sign monitoring sensors,,,,,,,,,,,,,,,,,,,,,,
Percepto,Autonomous drone-in-a-box for industrial sites,New physical capabilities,Autonomous drone-in-a-box for industrial sites,,,,,,,,,,,,,,,,,,,,,,
Quantum Source,Photonic quantum computing hardware,New physical capabilities,Photonic quantum computing hardware,,,,,,,,,,,,,,,,,,,,,,
Redefine Meat,3D-printed plant-based meat,New physical capabilities,3D-printed plant-based meat,,,,,,,,,,,,,,,,,,,,,,
